RA (degrees),DEC (degrees),Timestamp
109.89801,14.852625,2027-06-10
345.1069,-3.302432,2027-06-12
45.534706,5.9567914,2027-06-14
229.6741,26.897015,2027-06-16
64.33315,18.655565,2027-06-18
84.94405,8.380871,2027-06-20
203.71613,26.80808,2027-06-22
246.88695,-10.743907,2027-06-24
176.94672,7.612685,2027-06-26
9.615651,3.9883666,2027-06-28
203.8077,8.629839,2027-06-30
194.97346,9.525686,2027-07-02
340.24606,-1.7415954,2027-07-04
221.00735,27.239378,2027-07-06
40.51874,2.7967641,2027-07-08
196.76991,-15.693189,2027-07-10
45.475395,5.01687,2027-07-12
137.79941,14.675525,2027-07-14
194.7509,7.9665504,2027-07-16
206.67575,25.542152,2027-07-18
28.105112,12.07877,2027-07-20
144.77774,19.148037,2027-07-22
348.30035,14.936429,2027-07-24
73.82386,5.9992957,2027-07-26
1.5320193,15.559971,2027-07-28
254.10516,-10.672799,2027-07-30
9.606111,-2.7112355,2027-08-01
28.826813,5.8522387,2027-08-03
327.24042,16.098438,2027-08-05
2.9806778,-0.6661527,2027-08-07
159.93587,25.399427,2027-08-09
159.62056,21.201,2027-08-11
177.81828,8.064245,2027-08-13
232.41557,14.860025,2027-08-15
233.65326,12.03416,2027-08-17
286.39423,24.197744,2027-08-19
227.56818,7.7913985,2027-08-21
347.63614,2.345378,2027-08-23
173.92032,10.729237,2027-08-25
238.15057,28.117865,2027-08-27
267.29327,23.078676,2027-08-29
213.32735,12.111206,2027-08-31
281.36243,-16.52497,2027-09-02
115.87127,22.20392,2027-09-04
263.55048,-12.715668,2027-09-06
11.438736,-1.184731,2027-09-08
242.01949,29.455967,2027-09-10
45.14717,8.554052,2027-09-12
88.64876,6.898332,2027-09-14
260.91998,29.566296,2027-09-16
205.6316,9.453641,2027-09-18
196.20747,7.546258,2027-09-20
36.716984,0.047392983,2027-09-22
102.1311,7.592331,2027-09-24
138.7679,24.526987,2027-09-26
181.35272,9.195473,2027-09-28
255.04483,31.378157,2027-09-30
237.00885,-22.733253,2027-10-02
355.70392,-14.874509,2027-10-04
49.816334,6.434263,2027-10-06
252.4147,-7.985004,2027-10-08
0.28813085,-8.832814,2027-10-10
31.951607,0.045014743,2027-10-12
153.66121,-13.3387785,2027-10-14
260.4231,24.590107,2027-10-16
336.316,12.188037,2027-10-18
233.53864,27.284864,2027-10-20
346.70108,10.503603,2027-10-22
299.85635,23.26779,2027-10-24
15.8577175,-17.675335,2027-10-26
95.40031,19.681393,2027-10-28
216.74846,-1.1063395,2027-10-30
262.65762,-14.690447,2027-11-01
170.89081,15.992056,2027-11-03
274.2937,-3.4325855,2027-11-05
241.52457,-10.52479,2027-11-07
342.3262,9.9946165,2027-11-09
153.58179,24.677664,2027-11-11
160.71117,23.23824,2027-11-13
193.09099,13.506338,2027-11-15
120.45501,21.750452,2027-11-17
302.41275,17.099098,2027-11-19
203.70535,26.709276,2027-11-21
246.04593,-6.4772105,2027-11-23
336.64645,1.2479081,2027-11-25
255.22894,-10.761711,2027-11-27
341.98102,-0.8595335,2027-11-29
168.62175,20.62447,2027-12-01
307.55167,20.928156,2027-12-03
86.403435,15.802796,2027-12-05
261.80963,-11.869082,2027-12-07
44.19986,13.358392,2027-12-09
245.66504,28.677883,2027-12-11
8.982803,5.0120406,2027-12-13
243.36615,26.41137,2027-12-15
21.39673,13.11986,2027-12-17
267.98032,31.082222,2027-12-19
18.613377,-26.995445,2027-12-21
31.49955,15.014417,2027-12-23
276.3614,-11.809782,2027-12-25
164.88548,14.047248,2027-12-27
325.14438,3.1652122,2027-12-29
130.90475,24.897285,2027-12-31
36.8907,1.6625363,2028-01-02
359.29135,-25.775814,2028-01-04
179.59503,7.980229,2028-01-06
196.64825,11.123096,2028-01-08
255.33551,-11.153069,2028-01-10
100.092285,21.678858,2028-01-12
196.64134,26.284573,2028-01-14
138.65417,22.101696,2028-01-16
337.9677,13.349565,2028-01-18
83.32521,-17.113873,2028-01-20
235.13147,18.699759,2028-01-22
312.55856,15.797151,2028-01-24
305.56635,22.032791,2028-01-26
195.47713,11.78211,2028-01-28
341.8603,-0.4090522,2028-01-30
287.49417,-12.589106,2028-02-01
343.93973,-13.171049,2028-02-03
151.63608,17.49945,2028-02-05
304.81512,7.44811,2028-02-07
213.9235,26.462181,2028-02-09
255.07947,-8.443197,2028-02-11
276.388,26.49502,2028-02-13
67.29899,16.826412,2028-02-15
256.25568,-6.1228337,2028-02-17
278.03723,29.284779,2028-02-19
3.0864038,-0.93331575,2028-02-21
162.69597,9.696541,2028-02-23
133.78996,23.753153,2028-02-25
271.6391,-11.389631,2028-02-27
290.4681,23.697622,2028-02-29
337.76926,0.900881,2028-03-02
356.5656,-1.6466404,2028-03-04
194.92584,12.076828,2028-03-06
305.00897,22.053047,2028-03-08
62.86076,4.2693563,2028-03-10
191.81644,24.163822,2028-03-12
204.51692,25.38915,2028-03-14
279.2358,27.825981,2028-03-16
340.9649,17.27559,2028-03-18
144.48209,15.493882,2028-03-20
156.66075,17.558058,2028-03-22
202.46288,-5.9922967,2028-03-24
23.65918,22.892183,2028-03-26
