predicted_ra,predicted_dec,predicted_year,predicted_month,predicted_day,predicted_hour
283.3167,-64.73522,2034,3,31,43
337.9849,-83.36914,2027,5,137,211
38.823517,-83.25677,2034,14,95,2
45.328125,-91.426186,2028,56,295,-21
344.53244,-82.991684,2029,7,104,154
307.0834,-70.51828,2034,3,38,53
42.90085,-87.40993,2028,45,178,-29
43.92694,-92.18268,2027,94,468,-59
44.920258,-91.79179,2033,56,304,-19
340.59775,-84.25408,2033,6,174,277
337.07526,-82.75281,2029,4,114,173
44.369263,-92.74288,2028,66,382,-19
199.80774,-21.029964,2034,4,20,19
43.468414,-90.43449,2034,36,199,-8
330.65793,-72.94524,2030,7,36,45
289.67627,12.589598,2025,5,17,9
315.98688,-74.346016,2030,2,47,68
343.06836,-83.51343,2025,7,126,191
37.90982,-91.91328,2034,21,193,8
326.62607,-69.49554,2029,3,36,45
337.24164,-82.78559,2030,4,115,174
343.03528,-84.23575,2029,8,165,257
28.706787,-84.7263,2030,4,85,20
45.079346,-91.03117,2028,61,300,-30
226.00179,-42.8417,2033,4,20,24
45.116577,-92.584564,2028,73,403,-26
339.88058,-83.30759,2029,5,128,195
329.5033,-75.98249,2030,7,46,61
344.0444,-82.566795,2030,6,94,139
335.07434,-80.29879,2029,3,70,101
331.1642,-71.70921,2028,7,34,41
277.03378,24.668192,2030,4,16,9
21.869995,-66.977806,2028,6,45,17
29.823761,-78.85766,2028,7,68,13
334.29028,-82.07569,2032,5,102,154
44.78653,-87.15278,2027,36,154,-16
33.30597,-88.53958,2032,7,108,12
321.23773,-75.652374,2028,4,48,68
325.3148,-78.33786,2026,2,64,94
341.59882,-36.737553,2034,8,17,11
319.7671,-72.29898,2034,3,41,56
45.738617,-91.09695,2028,58,294,-25
226.629,-38.981445,2025,3,21,24
229.6938,-46.217136,2027,3,21,26
44.000793,-92.82496,2034,64,374,-16
336.92328,-76.57352,2031,4,48,64
34.844696,-75.22811,2029,10,71,4
335.60727,-82.50446,2029,4,110,167
309.40063,5.8449407,2027,7,18,10
340.64496,-83.88421,2032,6,153,238
37.83661,-90.04065,2028,16,142,9
221.0154,-34.93299,2026,4,21,23
242.01743,-48.4503,2033,4,21,25
275.77155,23.488148,2026,3,19,11
35.73767,-91.60297,2031,15,172,10
333.7037,-81.64498,2026,5,94,140
30.030182,-85.49098,2034,4,88,18
326.4571,-79.03358,2030,3,67,99
350.76978,-77.779686,2028,6,48,62
5.0965576,-0.025784915,2033,7,15,5
327.40988,-72.759964,2026,6,37,47
33.89807,-91.112236,2028,11,153,12
339.17398,-83.46705,2034,5,138,213
341.65576,-84.40668,2026,7,181,288
314.82306,-66.79373,2025,5,31,39
45.037872,-92.59581,2032,101,527,-54
334.0886,-75.060104,2028,3,44,58
333.5179,-72.99902,2030,8,36,43
325.9992,-77.56546,2033,4,55,77
37.607758,-92.153694,2034,21,202,8
295.13824,-67.93654,2029,2,35,49
330.65527,-80.724335,2025,4,80,118
45.28369,-92.967316,2032,121,647,-63
338.84564,-82.51568,2031,4,102,153
327.714,-79.33637,2030,4,68,99
36.469757,-70.34769,2026,18,58,11
317.60196,-75.482445,2029,3,50,73
25.764374,-32.094326,2029,9,30,5
342.99023,-79.0345,2034,5,56,77
41.43988,-81.88867,2026,21,85,-5
46.553436,23.797974,2025,5,15,6
42.13803,-91.32777,2027,34,214,-2
291.7508,-67.215385,2031,2,34,48
4.4617615,-11.213996,2033,7,30,7
333.9448,-81.67656,2030,5,94,141
337.0424,-82.954094,2033,5,123,187
314.39383,-68.65706,2026,4,33,43
24.353607,-32.248253,2034,8,37,3
330.3245,-80.43717,2026,4,77,113
354.4907,5.913152,2031,6,15,6
34.55902,-63.912407,2032,14,45,12
237.49062,-50.954857,2025,3,23,29
9.696503,-8.045377,2027,7,15,4
303.92914,-46.578712,2027,5,20,20
284.71454,-63.474842,2032,3,29,40
44.07617,-92.839645,2028,65,381,-17
115.63922,1.9902613,2034,6,14,10
44.783264,-93.00579,2030,133,703,-77
327.92087,-78.84026,2032,4,62,89
340.15125,-83.915085,2031,6,156,244
269.9739,-61.19526,2028,3,28,38
37.608307,-81.72513,2026,14,87,1
343.2231,-82.95897,2027,6,106,158
342.01276,-84.44262,2028,7,183,290
43.73398,-92.21122,2027,50,292,-11
33.388245,-90.326706,2034,7,130,13
58.277313,10.879383,2030,7,14,8
42.4097,-88.77488,2027,27,155,-3
335.8742,-82.525185,2034,4,110,166
319.54324,-75.36456,2027,4,48,69
345.6996,-79.09192,2026,5,55,75
302.3296,-70.117455,2028,2,38,54
355.16077,-12.591732,2030,6,31,11
19.639862,-74.81618,2031,4,54,20
330.70853,-80.05886,2029,3,73,108
30.478333,-84.698654,2031,6,84,14
41.891693,-93.21133,2025,53,347,-6
46.27884,-1.330717,2029,8,14,8
332.1542,-80.176704,2031,6,72,105
321.86847,-76.5183,2030,4,52,75
43.645203,-91.108055,2030,73,340,-47
296.46707,-67.26757,2025,3,33,46
326.68857,-75.99404,2029,3,50,70
303.76822,-68.4345,2032,3,34,47
41.12039,-90.201744,2034,26,170,0
45.36148,-87.76198,2030,37,163,-15
320.2853,-76.57804,2028,2,55,81
